scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,970.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,971.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,972.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,973.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,974.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,975.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,976.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,977.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,978.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,979.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,980.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,981.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,982.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,983.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,984.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,985.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,986.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,987.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,988.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,989.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,990.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,991.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,992.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,993.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,994.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,995.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,996.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
